Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,0.673800,7.701999,8.824571,0.991845,0.686240,0
1,-3.371815,4.589885,2.736570,-1.000000,0.789542,1
2,0.385683,7.998226,7.390512,-0.305341,0.702509,0
3,0.095544,7.851403,8.811385,0.802238,0.700690,0
4,0.387709,7.849346,7.355699,-0.377994,0.712196,0
5,0.470124,6.715649,7.388571,-0.716595,0.712275,0
6,-3.260296,-4.071015,15.300984,-0.911379,0.729106,0
7,-3.377043,-4.575789,15.314248,-0.873517,0.722638,0
8,5.263712,7.879769,7.180031,-0.999180,0.774884,1
9,0.091027,7.851403,8.811385,0.802476,0.695305,0
10,5.263712,6.561547,7.180031,-0.999215,0.780480,1
11,0.387709,7.977884,7.391476,-0.320951,0.707208,0
12,-3.392612,-3.940737,15.300984,-0.918098,0.737358,0
13,4.241023,7.622186,7.040209,-0.998777,0.763767,1
14,2.299278,6.396935,7.039813,-0.971247,0.748157,1
15,0.510556,7.698368,8.824789,0.968544,0.694260,0
16,0.650703,7.970779,8.872672,0.972785,0.692084,0
17,1.812365,6.279199,7.040777,-0.930510,0.743631,0
18,0.489473,6.396935,7.039813,-0.764396,0.719701,0
19,4.440637,7.690268,4.248613,-0.996763,0.755854,1
